PlayerId;TeamId;FranchiseId;First Name;Last Name;Nick Name;Height;Weight;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired;Hand
52;32;32;Vadim;Moroz;;74;183;2003-11-20;Minsk;MIN;Belarus;;;0;Right
53;20;20;Nazem;Kadri;;72;192;1990-10-6;London;ON;Canada;Lebanon;;0;Left
54;26;26;Evander;Kane;;74;218;1991-8-2;Vancouver;BC;Canada;;;0;Left
55;3;3;Patrick;Kane;;70;177;1988-11-19;Buffalo;NY;The United States;;;0;Left
56;18;18;Erik;Karlsson;;72;191;1990-5-31;Landsbro;JöN;Sweden;;;0;Right
57;31;31;Anže;Kopitar;;76;225;1987-8-24;Jesenice;GOR;Slovenia;;;0;Left
58;-1;-1;Dmitry;Kulikov;;73;198;1990-10-29;Lipetsk;LIP;Russia;;;0;Left
59;-1;-1;Christian;Humphreys;;71;170;2006-2-4;Pittsburgh;PA;The United States;;;0;Right
60;-1;-1;Magnus;Chrona;;78;216;2000-8-28;Skellefteå;VäS;Sweden;;;0;Left
61;1;1;Nick;Leddy;;72;205;1991-3-20;Delano;MN;The United States;;;0;Left
62;-1;-1;Robin;Lehner;;76;240;1991-7-24;Göteborg;VäS;Sweden;;;0;Left
63;10;10;Kris;Letang;;72;201;1987-4-24;Montreal;QC;Canada;;;0;Right
64;-1;-1;Trevor;Lewis;;73;203;1987-1-8;Park City;UT;The United States;;;0;Right
65;-1;-1;Martin;Kaut;;74;190;1999-10-2;Brno;JHM;Czech Republic;;;0;Right
66;62;62;Yan;Kuznetsov;;76;209;2002-3-9;Murmansk;MUR;Russia;;;0;Left
67;35;35;Jayden;Struble;;72;194;2001-9-8;Cumberland;RI;The United States;;;0;Left
68;52;52;Yegor;Sidorov;;72;183;2004-6-18;Vitebsk;VIT;Belarus;;;0;Left
69;-1;-1;Valtteri;Puustinen;;69;183;1999-6-4;Kuopio;NSA;Finland;;;0;Right
70;4;4;Evgeni;Malkin;Geno;76;195;1986-7-31;Magnitogorsk;CHE;Russia;The United States;;0;Left
71;16;16;Brad;Marchand;;69;176;1988-5-11;Halifax;NS;Canada;;;0;Left
72;0;0;Jacob;Markstrom;;78;205;1990-1-31;Gävle;GäV;Sweden;;;0;Left
73;-1;-1;Alec;Martinez;;73;209;1987-7-26;Rockford;MI;The United States;;;0;Left
74;46;46;Ville;Koivunen;;72;172;2003-6-13;Oulu;NOS;Finland;;;0;Left
75;-1;-1;Yegor;Zavragin;;74;188;2005-8-23;Novosibirsk;NOV;Russia;;;0;Left
76;35;35;Alexander;Suzdalev;;74;202;2004-3-5;Khabarovsk;KHA;Sweden;Russia;;0;Left
77;40;40;Yegor;Afanasyev;;75;203;2001-1-23;Tver;TVE;Russia;;;0;Left
78;-1;-1;Vsevolod;Komarov;;74;189;2004-1-11;Chelyabinsk;CHE;Russia;;;0;Right
79;63;63;Ryan;McDonagh;;73;214;1989-6-13;Arden Hills;MN;The United States;;;0;Left
80;39;27;Igor;Chernyshov;;75;203;2005-11-30;Penza;PEN;Russia;;;0;Right
81;-1;-1;Raivis;Ansons;;73;192;2002-1-29;Riga;RIG;Latvia;;;0;Left
82;-1;-1;Adam;Engström;;74;190;2003-11-17;Södertälje;STO;Sweden;;;0;Left
83;-1;-1;Tyler;Myers;;80;229;1990-2-1;Horseshoe Bay;TX;Canada;The United States;;0;Right
84;-1;-1;Artur;Akhtiamov;;74;170;2001-10-31;Kazan;TAT;Russia;;;0;Left
85;9;9;Nino;Niederreiter;;74;218;1992-9-8;Chur;GR;Switzerland;;;0;Left
86;31;31;Ryan;O'Reilly;;73;216;1991-2-7;Clinton;ON;Canada;;;0;Left
87;-1;-1;T.J.;Oshie;;71;190;1986-12-23;Mount Vernon;WA;The United States;;;0;Right
88;1;1;Alex;Ovechkin;Ovi;74;236;1985-9-17;Moscow;MOS;Russia;;;0;Right
89;12;12;Max;Pacioretty;;74;216;1988-11-20;New Canaan;CT;The United States;;;0;Left
90;33;33;Kyle;Palmieri;;71;185;1991-2-1;Smithtown;NY;The United States;;;0;Right
91;-1;-1;Cole;Koepke;;73;203;1998-5-17;Hermantown;MN;The United States;;;0;Left
92;55;9;Mikhail;Gulyayev;;70;172;2005-4-26;Novosibirsk;NOV;Russia;;;0;Left
93;39;27;Eemil;Vinni;;75;200;2005-12-18;Vantaa;UUS;Finland;;;0;Left
94;16;16;David;Perron;;73;203;1988-5-28;Sherbrooke;QC;Canada;;;0;Right
95;-1;-1;Corey;Perry;;75;207;1985-5-16;Peterborough;ON;Canada;;;0;Right
96;27;27;Jeff;Petry;;75;207;1987-12-9;Ann Arbor;MI;The United States;;;0;Right
97;39;27;Daniil;But;;78;216;2005-2-15;Yaroslavl;YAR;Russia;;;0;Right
98;0;0;Alex;Pietrangelo;;75;214;1990-1-18;King City;ON;Canada;;;0;Right
99;39;27;Macklin;Celebrini;;73;190;2006-6-13;Vancouver;BC;Canada;;;0;Left
100;-1;-1;Yegor;Rimashevsky;;75;185;2005-2-1;Zhlobin;GOM;Russia;Belarus;;0;Left
101;32;22;Carey;Price;;75;216;1987-8-16;Vancouver;BC;Canada;;;0;Left
102;59;1;Jonathan;Quick;;73;220;1986-1-21;Hebron;CT;The United States;;;0;Left
103;58;58;Ryan;Reaves;;74;225;1987-1-20;Winnipeg;MB;Canada;The United States;;0;Right
104;-1;-1;James;Reimer;Optimus Reim;74;201;1988-3-15;Winnipeg;MB;Canada;;;0;Left
105;39;27;Matvei;Gridin;;73;189;2006-3-1;Kurgan;KUR;Russia;;;0;Left
106;17;17;Pyotr;Kochetkov;;74;203;1999-6-25;Penza;PEN;Russia;;;0;Left
107;-1;-1;Vasili;Podkolzin;;73;190;2001-6-24;Moscow;MOS;Russia;;;0;Left
108;1;1;Carl;Lindbom;;73;190;2003-5-20;Stockholm;STO;Sweden;;;0;Left
109;0;0;Brayden;Schenn;;73;201;1991-8-22;Saskatoon;SK;Canada;;;0;Left
110;-1;-1;Luke;Schenn;;74;225;1989-11-2;Saskatoon;SK;Canada;;;0;Right
111;-1;-1;Tomáš;Mazura;;76;205;2000-9-23;Pardubice;PAR;Czech Republic;The United States;;0;Left
112;20;20;Tyler;Seguin;;73;208;1992-1-31;Brampton;ON;Canada;;;0;Right
113;-1;-1;Alexander;Pelevin;;71;184;2004-5-16;Balakhna;NIZ;Russia;;;0;Left
114;57;57;Andrei;Loshko;;73;172;2004-10-7;Zhlobin;GOM;Belarus;;;0;Left
115;11;11;Jeff;Skinner;;71;201;1992-5-16;Markham;ON;Canada;;;0;Left
116;59;1;Max;Plante;;71;180;2006-2-20;Hermantown;MN;The United States;;;0;Left
117;8;8;Jared;Spurgeon;;69;165;1989-11-29;Edmonton;AB;Canada;;;0;Right
118;9;9;Jordan;Staal;;76;220;1988-9-10;Thunder Bay;ON;Canada;;;0;Left
119;7;7;Steven;Stamkos;;73;194;1990-2-7;Markham;ON;Canada;;;0;Right
120;-1;-1;Gleb;Trikozov;;73;192;2004-8-12;Omsk;OMS;Russia;;;0;Right
121;-1;-1;Sergei;Ivanov;;72;157;2004-4-3;Tyumen;TYU;Russia;;;0;Left
122;-1;-1;Ryan;Suter;;73;205;1985-1-21;Madison;WI;The United States;;;0;Left
123;10;10;Chris;Tanev;;74;198;1989-12-20;Toronto;ON;Canada;;;0;Right
124;17;17;Tomas;Tatar;Tuna;70;172;1990-12-1;Ilava;TRE;Slovakia;;;0;Left
125;10;10;John;Tavares;;73;212;1990-9-20;Mississauga;ON;Canada;;;0;Left
126;51;51;Elias;Salomonsson;;74;199;2004-8-31;Skellefteå;VäS;Sweden;;;0;Right
127;16;16;Semyon;Varlamov;;74;209;1988-4-27;Samara;SAM;Russia;;;0;Left
128;-1;-1;Kalle;Väisänen;;77;194;2003-1-28;Kotka;KYM;Finland;;;0;Right
129;-1;-1;Marc-Edouard;Vlasic;Pickles;73;205;1987-3-30;Montreal;QC;Canada;;;0;Left
130;-1;-1;Shea;Weber;;76;229;1985-8-14;Sicamous;BC;Canada;;;0;Right
131;-1;-1;Luke;Reid;;72;192;2001-9-26;Geneva;IL;The United States;Canada;;0;Right
132;-1;-1;Topias;Leinonen;;77;234;2004-1-25;Jyväskylä;FIN;Finland;;;0;Left
133;61;16;Emil;Pieniniemi;;74;176;2005-3-2;Kuopio;NSA;Finland;;;0;Left
134;19;19;Mats;Zuccarello;;68;182;1987-9-1;Oslo;AKE;Norway;;;0;Left
135;27;27;Cam;Atkinson;Camsanity;68;176;1989-6-5;Greenwich;CT;The United States;;;0;Right
136;-1;-1;Robert;Bortuzzo;;76;216;1989-3-18;Thunder Bay;ON;Canada;;;0;Right
137;-1;-1;T.J.;Brodie;;74;187;1990-6-7;Chatham-Kent;ON;Canada;;;0;Left
138;-1;-1;Alexei;Toropchenko;;78;223;1999-6-25;Moscow;MOS;Russia;;;0;Left
139;16;16;Sean;Couturier;;76;212;1992-12-7;Phoenix;AZ;Canada;The United States;;0;Left
140;26;26;Mattias;Ekholm;;76;226;1990-5-24;Borlänge;DAL;Sweden;;;0;Left
141;4;4;Justin;Faulk;;72;216;1992-3-20;South St. Paul;MN;The United States;;;0;Right
142;-1;-1;Erik;Gudbranson;;77;223;1992-1-7;Ottawa;ON;Canada;;;0;Right
143;6;6;Roman;Josi;;74;201;1990-6-1;Bern;BE;Switzerland;;;0;Left
144;19;19;Gabriel;Landeskog;;72;216;1992-11-23;Stockholm;STO;Sweden;;;0;Left
145;8;8;Adam;Larsson;;75;209;1992-11-12;Skellefteå;VäS;Sweden;;;0;Right
146;-1;-1;Patrick;Maroon;;75;234;1988-4-23;St. Louis;MO;The United States;;;0;Left
147;17;17;Ryan;Nugent-Hopkins;;73;192;1993-4-12;Burnaby;BC;Canada;;;0;Left
148;-1;-1;Gustav;Nyquist;;71;176;1989-9-1;Halmstad;HAL;Sweden;;;0;Left
149;-1;-1;Noah;Steen;;73;192;2004-8-16;Oslo;AKE;Norway;;;0;Left
150;19;19;Brandon;Saad;;73;205;1992-10-27;Pittsburgh;PA;The United States;;;0;Left
151;12;12;David;Savard;;73;234;1990-10-22;Saint-Hyacinthe;QC;Canada;;;0;Right
152;12;12;Mark;Scheifele;;75;207;1993-3-15;Kitchener;ON;Canada;;;0;Right
153;-1;-1;Brendan;Smith;;74;201;1989-2-8;Toronto;ON;Canada;;;0;Left
154;-1;-1;Craig;Smith;;73;203;1989-9-5;Madison;WI;The United States;;;0;Right
155;-1;-1;James;van Riemsdyk;JVR;75;207;1989-5-4;Middletown;NJ;The United States;;;0;Left
156;29;29;Mika;Zibanejad;;74;201;1993-4-18;Stockholm;STO;Sweden;Iran;;0;Right
157;52;21;Jake;Allen;The Snake;74;198;1990-8-7;Fredericton;NB;Canada;;;0;Left
158;62;62;Matvei;Shuravin;;74;196;2006-3-22;Moscow;MOS;Russia;;;0;Left
159;9;9;Jon;Marchessault;;69;185;1990-12-27;Quebec City;QC;Canada;;;0;Right
160;-1;-1;Tyson;Barrie;;71;196;1991-7-26;Victoria;BC;Canada;;;0;Right
161;62;19;Yegor;Surin;;74;198;2006-8-1;Voronezh;VOR;Russia;;;0;Left
162;-1;-1;Ben;Chiarot;;75;234;1991-5-9;Hamilton;ON;Canada;;;0;Left
163;11;11;Casey;Cizikas;;71;194;1991-2-27;Toronto;ON;Canada;;;0;Left
164;59;1;Nikita;Grebyonkin;;74;209;2003-5-2;Serov;SVE;Russia;;;0;Left
165;37;37;Kevin;Connauton;;74;205;1990-2-23;Edmonton;AB;Canada;;;0;Left
166;-1;-1;Calvin;de Haan;;73;194;1991-5-9;Ottawa;ON;Canada;;;0;Left
167;-1;-1;Nicolas;Deslauriers;;73;220;1991-2-22;Montreal;QC;Canada;;;0;Left
168;-1;-1;Brenden;Dillon;;76;225;1990-11-13;Surrey;BC;Canada;;;0;Left
169;-1;-1;Georgi;Romanov;;77;207;1999-12-15;Yekaterinburg;SVE;Russia;;;0;Left
170;12;12;Ryan;Ellis;;70;181;1991-1-3;Hamilton;ON;Canada;;;0;Right
171;-1;-1;Cal;Burke;;70;183;1997-3-24;Boxborough;MA;The United States;;;0;Right
172;-1;-1;Isak;Walther;;76;205;2001-8-2;Södertälje;STO;Sweden;;;0;Left
173;-1;-1;Marcus;Foligno;;75;227;1991-8-10;Buffalo;NY;Canada;The United States;;0;Left
174;20;20;Radko;Gudas;;72;207;1990-6-5;Prague;PRA;Czech Republic;;;0;Right
175;57;57;Artem;Duda;;73;187;2004-4-8;Moscow;MOS;Russia;;;0;Left
176;38;38;Semyon;Chistyakov;;71;198;2001-8-7;Yekaterinburg;SVE;Russia;;;0;Left
177;-1;-1;Arber;Xhekaj;;76;238;2001-1-30;Hamilton;ON;Canada;Czech Republic;;0;Left
178;47;0;Oscar;Fisker Mølgaard;;72;187;2005-2-18;Frederikshavn;NOR;Denmark;;;0;Left
179;-1;-1;Brayden;McNabb;;76;214;1991-1-21;Davidson;SK;Canada;;;0;Left
180;-1;-1;Timur;Kol;;76;205;2006-8-23;Moscow;MOS;Russia;;;0;Left
181;62;19;David;Edstrom;;75;201;2005-2-18;Göteborg;VäS;Sweden;The United States;;0;Left
182;36;36;Riley;Nash;;74;187;1989-5-9;Kamloops;BC;Canada;;;0;Right
183;27;27;Dmitry;Orlov;;71;214;1991-7-23;Novokuznetsk;KEM;Russia;;;0;Left
184;-1;-1;Ondrej;Palát;;72;194;1991-3-28;Ostrava;MOR;Czech Republic;;;0;Left
185;-1;-1;Artur;Cholach;;76;201;2003-6-6;Lviv;LVI;Ukraine;;;0;Left
186;-1;-1;Pavel;Denisov;;72;185;2001-5-17;Gomel;GOM;Belarus;;;0;Left
187;-1;-1;Kirill;Dolzhenkov;;78;223;2004-4-20;Moscow;MOS;Russia;;;0;Left
188;27;27;Cam;Talbot;;76;196;1987-7-5;Caledonia;ON;Canada;;;0;Left
189;-1;-1;Justin;Dowling;;70;181;1990-10-1;Cochrane;ON;Canada;;;0;Left
190;-1;-1;Axel;Landén;;73;194;2005-3-29;Jönköping;JöN;Sweden;;;0;Right
191;-1;-1;Alex;Limoges;;73;201;1997-9-16;Winchester;VA;The United States;;;0;Left
192;-1;-1;Mikhail;Abramov;;71;170;2001-3-26;Nizhnekamsk;TAT;Russia;;;0;Left
193;45;45;Philipp;Grubauer;;73;187;1991-11-25;Rosenheim;BAV;Germany;;;0;Left
194;-1;-1;Maxim;Beryozkin;;76;212;2001-10-12;Chita;ZAB;Russia;;;0;Right
195;60;18;Darcy;Kuemper;;77;216;1990-5-5;Saskatoon;SK;Canada;;;0;Left
196;-1;-1;Yegor;Naumov;;75;198;2005-10-6;Yaroslavl;YAR;Russia;;;0;Left
197;51;51;Herman;Träff;;75;222;2005-12-31;Oskarshamn;KAL;Sweden;;;0;Right
198;55;9;Dmitri;Simashev;;77;203;2005-2-4;Kostroma;KOS;Russia;;;0;Left
199;-1;-1;Melker;Thelin;;74;170;2005-5-25;Umeå;VäS;Sweden;;;0;Left
200;-1;-1;Oscar;Eklind;;76;220;1998-7-14;Trelleborg;SKå;Sweden;;;0;Left
201;-1;-1;Rasmus;Bergqvist;;75;190;2005-6-5;Umeå;VäS;Sweden;;;0;Left
202;-1;-1;Andrew;Agozzino;;70;187;1991-1-3;Vaughan;ON;Canada;;;0;Left
203;12;12;Josh;Anderson;;75;220;1994-5-7;Burlington;ON;Canada;;;0;Right
204;19;19;Andreas;Athanasiou;;74;190;1994-8-6;Vaughan;ON;Canada;;;0;Left
205;62;19;Tyler;Bertuzzi;;74;201;1995-2-24;Sudbury;ON;Canada;;;0;Left
206;27;27;Jordan;Binnington;;74;172;1993-7-11;Richmond Hill;ON;Canada;;;0;Left
207;-1;-1;Justin;Danforth;;69;181;1993-3-15;Oshawa;ON;Canada;;;0;Right
208;17;17;Connor;Brown;;72;183;1994-1-14;Toronto;ON;Canada;;;0;Right
209;-1;-1;Josh;Brown;;77;220;1994-1-21;London;ON;Canada;;;0;Right
210;-1;-1;Jack;Campbell;;75;207;1992-1-9;Port Huron;MI;The United States;;;0;Left
211;-1;-1;Sam;Carrick;;72;203;1992-2-4;Markham;ON;Canada;;;0;Right
212;-1;-1;Cody;Ceci;;75;209;1993-12-21;Ottawa;ON;Canada;;;0;Right
213;-1;-1;Nick;Cousins;;71;192;1993-7-20;Belleville;ON;Canada;;;0;Left
214;26;26;Dylan;DeMelo;;73;194;1993-5-1;London;ON;Canada;;;0;Right
215;20;20;Jason;Dickinson;;74;201;1995-7-4;Georgetown;ON;Canada;;;0;Left
216;18;18;Max;Domi;;70;209;1995-3-2;Winnipeg;MB;Canada;;;0;Left
217;26;26;Aaron;Ekblad;;76;216;1996-2-7;Windsor;ON;Canada;;;0;Right
218;25;25;Radek;Faksa;;75;220;1994-1-9;Opava;MOR;Czech Republic;;;0;Left
219;-1;-1;Brendan;Gaunce;;75;214;1994-3-25;Markham;ON;Canada;;;0;Left
220;21;21;John;Gibson;;74;209;1993-7-14;Pittsburgh;PA;The United States;;;0;Left
221;26;26;Barclay;Goodrow;;74;209;1993-2-26;Aurora;ON;Canada;;;0;Left
222;-1;-1;Warren;Foegele;;74;198;1996-4-1;Markham;ON;Canada;;;0;Left
223;22;22;Dougie;Hamilton;;78;229;1993-6-17;Toronto;ON;Canada;;;0;Right
224;-1;-1;Ben;Harpur;;78;231;1995-1-12;Niagara Falls;ON;Canada;Australia;;0;Left
225;26;26;Bo;Horvat;;72;216;1995-4-5;Rodney;ON;Canada;;;0;Left
226;9;9;Boone;Jenner;;74;205;1993-6-15;London;ON;Canada;;;0;Left
227;-1;-1;Scott;Laughton;;73;190;1994-5-30;Oakville;ON;Canada;;;0;Left
228;60;18;Olli;Määttä;;74;209;1994-8-22;Jyväskylä;FIN;Finland;;;0;Left
229;-1;-1;Kurtis;MacDermid;;77;234;1994-3-25;Wiarton;ON;Canada;;;0;Left
230;44;44;Spencer;Martin;;75;192;1995-6-8;Oakville;ON;Canada;;;0;Left
231;-1;-1;Brock;McGinn;;72;187;1994-2-2;Fergus;ON;Canada;;;0;Left
232;-1;-1;Colin;Miller;;73;201;1992-10-29;Sault Ste. Marie;ON;Canada;;;0;Right
233;12;12;J.T.;Miller;;73;218;1993-3-14;Defiance;OH;The United States;;;0;Left
234;12;12;Sean;Monahan;;73;202;1994-10-12;Brampton;ON;Canada;;;0;Left
235;61;16;Petr;Mrázek;;74;187;1992-2-14;Ostrava;MOR;Czech Republic;;;0;Left
236;17;17;Connor;Murphy;;76;212;1993-3-26;Dublin;OH;The United States;Canada;;0;Right
237;-1;-1;Matt;Murray;;77;220;1994-5-25;Thunder Bay;ON;Canada;The Netherlands;;0;Left
238;-1;-1;Vladislav;Namestnikov;;72;181;1992-11-22;Voskresensk;MOS;Russia;The United States;;0;Left
239;-1;-1;Stefan;Noesen;;73;205;1993-2-12;Plano;TX;The United States;;;0;Right
240;17;17;Darnell;Nurse;;76;216;1995-2-4;Hamilton;ON;Canada;;;0;Left
241;26;26;Jamie;Oleksiak;;79;256;1992-12-21;Toronto;ON;Canada;The United States;;0;Left
242;-1;-1;Tanner;Pearson;;73;201;1992-8-10;Kitchener;ON;Canada;;;0;Left
243;3;3;Adam;Pelech;;75;205;1994-8-16;Toronto;ON;Canada;;;0;Left
244;10;10;Jake;Walman;;73;218;1996-2-20;Toronto;ON;Canada;The United States;;0;Left
245;-1;-1;Rickard;Rakell;;73;203;1993-5-5;Sundbyberg;STO;Sweden;;;0;Right
246;-1;-1;Scott;Sabourin;;76;207;1992-7-30;Ottawa;ON;Canada;;;0;Right
247;38;38;Michael;Sgarbossa;;72;185;1992-7-25;Milton;ON;Canada;;;0;Left
248;31;31;Philip;Broberg;;75;198;2001-6-25;Örebro;ÖRE;Sweden;;;0;Left
249;1;1;Yegor;Chinakhov;;73;208;2001-2-1;Omsk;OMS;Russia;;;0;Left
250;60;18;Noah;Dower Nilsson;;72;200;2005-4-25;Strömstad;VäS;Sweden;;;0;Left
251;-1;-1;Ryan;Strome;;73;192;1993-7-11;Mississauga;ON;Canada;;;0;Right
252;-1;-1;Jarred;Tinordi;;78;229;1992-2-20;Severna Park;MD;The United States;Canada;;0;Left
253;0;0;Tyler;Toffoli;;72;203;1992-4-24;Toronto;ON;Canada;;;0;Right
254;0;0;Vincent;Trocheck;;71;183;1993-7-11;Pittsburgh;PA;The United States;;;0;Right
255;9;9;Carter;Verhaeghe;;74;181;1995-8-14;Hamilton;ON;Canada;;;0;Left
256;-1;-1;Austin;Watson;;76;205;1992-1-13;Ann Arbor;MI;The United States;;;0;Right
257;-1;-1;Scott;Wedgewood;;74;205;1992-8-14;Brampton;ON;Canada;;;0;Left
258;27;27;Tom;Wilson;;76;220;1994-3-29;Toronto;ON;Canada;;;0;Right
259;-1;-1;Arseni;Gritsyuk;;72;194;2001-3-15;Krasnoyarsk;KRA;Russia;;;0;Left
260;63;63;Ilya;Nikolayev;;72;190;2001-6-26;Yaroslavl;YAR;Russia;;;0;Left
261;39;27;Maxim;Strbák;;74;202;2005-4-13;Kosice;KOS;Slovakia;;;0;Right
262;-1;-1;Marcus;Gidlöf;;78;219;2005-9-28;Falun;DAL;Sweden;;;0;Left
263;57;12;Laurent;Brossoit;;75;203;1993-3-23;Port Alberni;BC;Canada;;;0;Left
264;-1;-1;Kyle;Burroughs;;72;194;1995-7-12;Langley;BC;Canada;;;0;Right
265;-1;-1;Eric;Comrie;;73;183;1995-7-6;Newport Beach;CA;Canada;The United States;;0;Left
266;-1;-1;Roman;Bychkov;;71;196;2001-2-10;Yaroslavl;YAR;Russia;;;0;Left
267;-1;-1;Markus;Loponen;;73;185;2006-6-17;Oulu;NOS;Finland;;;0;Left
268;54;54;Chris;Driedger;;76;207;1994-5-18;Winnipeg;MB;Canada;;;0;Left
269;53;53;Matt;Dumba;;72;181;1994-7-25;Calgary;AB;Canada;Philippines;;0;Right
270;-1;-1;Joel;Edmundson;;77;225;1993-6-28;Brandon;MB;Canada;;;0;Left
271;0;0;Brendan;Gallagher;;69;183;1992-5-6;Delta;BC;Canada;;;0;Right
272;-1;-1;Mason;Geertsen;;76;220;1995-4-19;Rocky Rapids;AB;Canada;;;0;Left
273;-1;-1;Dryden;Hunt;;72;192;1995-11-24;Nelson;BC;Canada;;;0;Left
274;18;18;Tristan;Jarry;;74;194;1995-4-29;Delta;BC;Canada;;;0;Left
275;-1;-1;Brett;Kulak;;74;192;1994-1-6;Edmonton;AB;Canada;;;0;Left
