PlayerId;G;LD;RD;LW;C;RW;Aggression;Bravery;Determination;Teamplayer;Leadership;Temperament;Professionalism;Mental Toughness;Goalie Stamina;Acceleration;Agility;Balance;Speed;Stamina;Strength;Fighting;Screening;Getting Open;Passing;Puck Handling;Shooting Accuracy;Shooting Range;Offensive Read;Checking;Faceoffs;Hitting;Positioning;Shot Blocking;Stickchecking;Defensive Read;G Positioning;G Passing;G Pokecheck;Blocker;Glove;Rebound;Recovery;G Puckhandling;Low Shots;G Skating;Reflexes;Skating;Shooting;Playmaking;Defending;Physicality;Conditioning;Character;Hockey Sense;Goalie Technique;Goalie Overall Positioning;Ability;Potential
10;0;7;8;18;14;20;10;14;14;16;13;13;15;0;0;17;17;14;17;15;12;4;13;16;16;17;16;7;16;13;11;12;13;7;14;14;0;0;0;0;0;0;0;0;0;0;0;16;15;13;11;12;17;12;16;0;0;2.5;4.0
11;0;8;8;18;18;20;8;10;13;13;12;13;12;0;0;14;16;13;13;12;9;4;8;12;13;14;14;4;13;10;12;9;11;6;11;12;0;0;0;0;0;0;0;0;0;0;0;13;11;12;9;8;15;11;12;0;0;0.5;2.0
12;0;14;20;5;5;8;6;14;16;17;17;14;17;0;0;16;16;16;17;20;15;5;6;15;19;18;10;17;18;14;7;13;15;14;15;13;0;0;0;0;0;0;0;0;0;0;0;16;13;16;14;10;20;14;14;0;0;3.5;3.5
13;0;8;8;18;10;20;8;12;14;14;12;15;13;0;0;14;14;14;14;14;12;9;10;14;16;15;14;6;14;11;10;12;11;6;13;14;0;0;0;0;0;0;0;0;0;0;0;14;13;12;10;10;17;11;14;0;0;1.0;3.0
14;0;8;5;20;10;15;13;14;12;12;12;9;12;0;0;12;12;14;12;12;13;7;12;14;12;13;14;6;13;12;9;13;11;6;11;11;0;0;0;0;0;0;0;0;0;0;0;12;13;10;10;13;16;11;13;0;0;0.5;1.0
15;0;18;20;5;5;8;6;16;14;14;13;16;14;0;0;12;14;16;14;14;16;6;7;14;14;13;9;17;11;18;6;15;15;16;13;15;0;0;0;0;0;0;0;0;0;0;0;14;13;13;15;12;16;11;15;0;0;2.5;2.5
16;0;5;8;14;17;20;9;16;15;15;13;13;15;0;0;14;15;14;16;14;13;6;15;14;14;14;15;5;12;13;13;18;14;7;14;15;0;0;0;0;0;0;0;0;0;0;0;14;12;13;12;14;17;11;13;0;0;2.0;2.0
17;0;20;18;8;5;5;11;16;14;13;15;12;16;0;0;12;13;16;14;15;17;9;8;12;14;13;7;15;13;16;6;15;17;14;15;15;0;0;0;0;0;0;0;0;0;0;0;14;11;13;15;13;17;12;16;0;0;2.0;2.5
18;0;8;5;18;20;14;6;15;16;16;17;16;14;0;0;16;14;15;17;17;13;6;15;16;16;17;15;6;16;14;14;14;16;7;13;16;0;0;0;0;0;0;0;0;0;0;0;16;13;14;12;12;18;14;16;0;0;3.0;3.0
19;0;8;5;14;20;12;8;15;15;19;19;14;14;0;0;16;17;17;16;17;14;6;14;17;19;18;17;7;20;15;16;13;12;7;14;16;0;0;0;0;0;0;0;0;0;0;0;16;15;16;12;12;18;14;18;0;0;4.5;4.5
20;0;8;5;17;10;20;5;15;15;15;13;17;16;0;0;15;16;15;14;15;14;4;14;16;16;16;15;6;16;15;9;14;13;7;14;15;0;0;0;0;0;0;0;0;0;0;0;14;13;14;12;12;17;12;16;0;0;2.5;2.5
21;0;5;8;14;20;17;6;13;15;13;15;15;15;0;0;15;11;14;15;12;14;8;14;16;14;16;16;6;14;13;8;13;12;7;11;11;0;0;0;0;0;0;0;0;0;0;0;14;14;11;10;12;15;12;15;0;0;1.5;1.5
22;0;20;15;8;5;5;9;15;14;12;11;14;14;0;0;14;13;15;14;13;14;7;8;10;12;14;6;15;10;15;7;16;15;13;16;14;0;0;0;0;0;0;0;0;0;0;0;14;10;12;14;12;16;11;14;0;0;1.5;2.0
23;0;14;20;5;5;8;7;13;15;18;17;15;13;0;0;17;16;14;17;20;14;6;8;14;17;18;10;17;16;15;7;14;15;12;17;17;0;0;0;0;0;0;0;0;0;0;0;16;13;15;14;11;20;13;16;0;0;3.5;3.5
24;0;8;8;20;10;18;7;9;13;12;12;12;12;0;0;13;13;12;13;13;9;6;10;13;13;14;12;6;13;12;9;10;11;9;12;12;0;0;0;0;0;0;0;0;0;0;0;12;12;12;11;9;16;11;13;0;0;0.5;2.5
25;0;8;5;15;20;19;7;12;14;17;14;16;12;0;0;18;18;13;18;17;14;6;13;17;17;17;17;7;17;14;14;12;14;7;13;13;0;0;0;0;0;0;0;0;0;0;0;16;15;14;12;11;18;12;17;0;0;3.0;3.0
26;0;5;8;14;12;20;7;13;16;17;18;15;18;0;0;15;15;14;15;16;13;5;13;16;16;18;15;7;16;13;10;12;13;7;15;14;0;0;0;0;0;0;0;0;0;0;0;14;14;15;12;11;18;13;16;0;0;2.5;2.5
27;0;20;14;8;5;5;7;13;15;15;16;15;17;0;0;14;15;15;17;17;15;6;8;13;15;17;6;15;16;15;6;14;15;13;15;13;0;0;0;0;0;0;0;0;0;0;0;15;10;14;14;11;18;12;14;0;0;2.5;2.5
28;0;8;5;14;20;12;9;13;14;14;15;14;14;0;0;14;13;15;14;15;16;6;16;14;14;15;15;6;14;13;15;15;16;7;17;16;0;0;0;0;0;0;0;0;0;0;0;14;13;13;13;13;17;12;14;0;0;2.5;2.5
29;20;0;0;0;0;0;10;0;14;14;14;0;13;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;16;14;15;13;14;15;16;13;15;0;0;8;0;2;9;12;0;15;15;2.5;2.5
30;0;8;5;18;17;20;12;15;17;14;16;13;13;0;0;13;13;14;14;15;16;10;16;13;15;14;12;5;13;16;15;17;15;7;14;15;0;0;0;0;0;0;0;0;0;0;0;13;11;13;13;15;17;12;13;0;0;2.5;2.5
31;0;8;5;20;10;15;12;13;12;14;11;10;13;0;0;13;12;14;13;13;13;8;12;13;13;13;14;4;14;12;9;11;10;6;12;12;0;0;0;0;0;0;0;0;0;0;0;13;11;11;10;12;16;10;13;0;0;0.5;2.0
32;0;5;8;18;10;20;5;9;13;11;11;13;12;0;0;12;14;11;12;11;9;4;10;13;12;11;13;4;11;10;8;8;8;4;10;11;0;0;0;0;0;0;0;0;0;0;0;11;10;10;8;8;15;10;12;0;0;0.5;2.5
33;0;20;19;8;5;8;6;11;12;14;11;14;13;0;0;13;12;14;13;12;13;4;6;11;15;15;7;15;15;12;6;10;12;10;14;13;0;0;0;0;0;0;0;0;0;0;0;13;11;13;12;9;16;11;12;0;0;1.0;2.0
34;0;5;8;14;19;20;6;14;14;18;18;17;17;0;0;16;17;13;16;16;13;6;12;16;18;17;15;6;17;17;18;13;16;6;11;15;0;0;0;0;0;0;0;0;0;0;0;15;13;15;12;11;18;13;16;0;0;3.5;3.5
35;0;5;8;13;18;20;12;14;12;14;11;8;12;0;0;12;12;13;12;12;13;9;13;12;13;15;12;4;14;11;10;12;12;5;11;12;0;0;0;0;0;0;0;0;0;0;0;12;10;12;9;12;16;11;13;0;0;0.5;3.0
36;0;15;20;5;5;8;7;12;14;13;11;16;13;0;0;14;13;14;14;12;14;7;7;10;13;13;5;15;12;13;6;12;15;13;14;15;0;0;0;0;0;0;0;0;0;0;0;14;10;13;13;10;16;11;15;0;0;1.0;1.5
37;0;20;19;8;5;5;5;14;16;16;14;17;15;0;0;17;16;11;16;15;11;5;7;10;14;16;6;14;12;15;8;13;13;13;15;15;0;0;0;0;0;0;0;0;0;0;0;14;10;15;14;10;17;12;14;0;0;2.0;2.0
38;0;8;5;20;14;12;8;12;13;16;14;14;13;0;0;17;17;16;17;15;16;6;12;16;17;16;15;7;17;14;12;13;14;7;14;14;0;0;0;0;0;0;0;0;0;0;0;16;14;14;12;12;17;11;16;0;0;3.0;3.0
39;0;14;20;5;5;8;12;17;14;13;13;11;13;0;0;13;13;16;13;15;17;8;7;13;13;11;10;16;12;15;6;15;15;17;17;13;0;0;0;0;0;0;0;0;0;0;0;14;13;11;16;13;17;11;14;0;0;2.0;2.0
40;0;8;8;20;10;15;8;10;12;12;11;13;11;0;0;12;13;12;13;12;10;6;8;13;13;12;11;4;12;11;8;10;10;6;12;12;0;0;0;0;0;0;0;0;0;0;0;12;9;12;9;9;15;11;12;0;0;0.5;2.0
41;0;20;14;8;5;5;6;13;14;19;17;14;14;0;0;14;13;18;15;17;18;5;8;15;19;16;10;18;18;15;6;13;18;14;19;15;0;0;0;0;0;0;0;0;0;0;0;15;14;17;16;11;18;14;16;0;0;4.0;4.0
42;0;8;5;13;20;10;7;15;14;15;12;14;13;0;0;16;16;12;16;12;11;5;13;14;16;16;14;7;16;11;12;9;12;6;13;12;0;0;0;0;0;0;0;0;0;0;0;14;14;14;10;11;16;11;15;0;0;1.5;2.5
43;0;8;5;20;19;14;6;15;14;16;15;17;13;0;0;15;15;14;14;15;14;6;12;16;16;15;16;7;15;14;16;11;14;8;15;16;0;0;0;0;0;0;0;0;0;0;0;14;15;13;12;11;17;12;15;0;0;2.5;2.5
44;0;15;12;20;10;12;7;11;12;12;13;14;13;0;0;13;12;13;13;12;12;5;12;12;13;13;13;4;12;11;9;13;13;6;12;13;0;0;0;0;0;0;0;0;0;0;0;13;10;11;10;11;15;11;12;0;0;0.5;2.0
45;0;5;8;12;20;14;10;14;13;14;13;11;14;0;0;14;14;15;14;13;14;8;13;12;16;15;14;6;14;13;14;14;12;6;13;13;0;0;0;0;0;0;0;0;0;0;0;14;13;14;11;13;16;11;13;0;0;1.5;2.0
46;0;13;20;5;5;8;6;13;14;15;13;18;15;0;0;16;15;13;16;14;13;5;7;14;14;17;7;16;14;13;7;13;14;12;13;14;0;0;0;0;0;0;0;0;0;0;0;15;11;13;13;10;17;11;14;0;0;2.0;2.5
47;0;8;5;20;19;12;9;15;14;16;14;14;16;0;0;15;14;16;14;15;15;8;15;14;13;15;15;6;14;16;13;16;14;7;15;14;0;0;0;0;0;0;0;0;0;0;0;15;13;12;13;14;17;11;14;0;0;2.5;2.5
48;0;5;8;12;10;20;12;12;11;12;11;10;11;0;0;12;12;13;13;10;12;6;12;12;12;12;14;4;13;10;10;13;14;6;12;11;0;0;0;0;0;0;0;0;0;0;0;12;11;11;10;12;14;10;12;0;0;0.5;1.5
49;0;8;5;20;18;17;3;14;15;16;14;19;16;0;0;15;16;15;16;16;13;4;14;14;16;15;14;6;16;14;11;12;14;7;16;17;0;0;0;0;0;0;0;0;0;0;0;15;13;15;12;11;17;11;15;0;0;2.5;2.5
50;0;14;20;5;5;8;6;14;15;14;16;15;14;0;0;13;12;18;15;15;17;5;7;12;14;13;6;16;12;15;6;16;16;15;18;16;0;0;0;0;0;0;0;0;0;0;0;15;11;13;16;12;17;12;16;0;0;2.5;2.5
51;0;20;14;8;5;5;8;16;15;14;14;14;16;0;0;11;13;17;12;15;17;8;8;11;12;13;6;13;11;15;6;16;15;14;16;15;0;0;0;0;0;0;0;0;0;0;0;13;9;13;15;13;17;12;15;0;0;1.5;1.5
52;0;8;8;18;10;20;9;13;13;13;11;13;13;0;0;13;14;14;14;12;13;6;14;12;13;13;14;5;13;13;10;12;12;6;13;12;0;0;0;0;0;0;0;0;0;0;0;13;12;13;11;12;16;11;12;0;0;1.0;2.5
53;0;8;5;15;20;12;9;14;13;17;14;11;14;0;0;16;16;14;15;17;14;9;14;16;18;17;15;7;18;14;15;13;13;6;14;15;0;0;0;0;0;0;0;0;0;0;0;15;14;16;11;12;18;11;17;0;0;3.0;3.0
54;0;8;5;20;14;18;13;15;14;14;11;8;12;0;0;15;14;16;17;16;17;7;18;17;15;14;18;7;17;13;11;16;12;6;13;12;0;0;0;0;0;0;0;0;0;0;0;16;16;12;11;15;17;12;17;0;0;2.5;2.5
55;0;8;5;14;12;20;5;14;15;19;16;17;16;0;0;18;16;14;18;17;12;3;12;17;18;18;15;7;18;13;15;9;13;6;12;15;0;0;0;0;0;0;0;0;0;0;0;16;14;16;11;10;18;13;17;0;0;3.0;3.0
56;0;14;20;5;5;8;7;12;16;20;16;15;16;0;0;17;16;16;18;20;12;4;6;16;19;20;12;18;19;12;8;10;15;12;15;15;0;0;0;0;0;0;0;0;0;0;0;17;15;17;13;9;19;13;15;0;0;4.0;4.0
57;0;8;5;14;20;12;5;13;15;18;19;19;14;0;0;15;15;18;15;19;17;3;14;15;17;17;15;6;16;15;17;12;15;8;15;19;0;0;0;0;0;0;0;0;0;0;0;16;13;15;13;12;19;14;15;0;0;4.0;4.0
58;0;20;18;8;5;5;9;14;14;15;13;15;15;0;0;13;14;15;15;16;16;7;7;13;15;13;8;17;13;16;6;15;15;14;17;16;0;0;0;0;0;0;0;0;0;0;0;14;12;14;15;12;17;12;15;0;0;2.5;2.5
59;0;5;8;12;18;20;8;11;12;15;11;13;12;0;0;13;14;12;12;12;11;5;11;15;13;14;13;5;14;11;10;10;11;7;12;12;0;0;0;0;0;0;0;0;0;0;0;12;11;12;10;10;16;11;14;0;0;0.5;2.0
60;20;0;0;0;0;0;8;0;15;14;13;0;14;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;12;13;12;14;14;13;13;14;14;14;0;0;8;0;1;10;12;0;12;13;1.5;2.5
61;0;20;15;8;5;5;6;12;14;19;15;17;18;0;0;19;16;14;18;18;12;5;8;13;16;19;7;16;16;14;8;11;13;13;13;14;0;0;0;0;0;0;0;0;0;0;0;17;11;16;13;9;19;11;13;0;0;2.5;3.0
62;20;0;0;0;0;0;13;0;13;13;12;0;12;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;16;15;14;15;12;15;14;15;15;16;0;0;7;0;2;9;11;0;15;15;2.0;2.0
63;0;14;20;5;5;8;7;14;14;17;17;13;13;0;0;16;16;16;18;19;16;7;7;14;18;18;9;15;17;13;9;15;16;14;14;14;0;0;0;0;0;0;0;0;0;0;0;16;12;16;14;11;19;12;15;0;0;3.5;3.5
64;0;5;8;13;19;20;6;15;15;14;15;15;16;0;0;14;14;15;14;14;15;6;15;14;13;14;13;5;12;15;12;17;16;7;15;16;0;0;0;0;0;0;0;0;0;0;0;14;11;12;13;13;16;12;13;0;0;2.0;2.0
65;0;5;8;17;12;20;8;13;14;14;13;14;14;0;0;14;13;14;14;14;14;6;13;13;15;15;14;5;14;13;10;13;14;8;15;14;0;0;0;0;0;0;0;0;0;0;0;14;12;13;12;12;17;11;13;0;0;1.5;2.0
66;0;20;14;8;5;5;7;14;14;12;12;14;12;0;0;13;12;15;13;13;14;6;7;8;13;12;6;14;12;13;6;14;13;15;14;13;0;0;0;0;0;0;0;0;0;0;0;13;10;12;13;11;16;11;13;0;0;1.0;2.5
67;0;20;14;8;5;5;10;14;15;15;14;9;14;0;0;14;12;14;14;13;15;8;6;12;16;16;7;16;14;13;6;15;13;11;13;12;0;0;0;0;0;0;0;0;0;0;0;14;11;14;12;12;16;11;12;0;0;1.5;2.5
68;0;8;8;20;11;18;9;12;13;14;11;13;12;0;0;13;14;13;13;12;12;5;10;14;14;14;13;5;13;12;10;10;12;6;13;13;0;0;0;0;0;0;0;0;0;0;0;13;11;12;10;10;16;12;13;0;0;1.0;2.5
69;0;5;8;20;10;18;6;13;15;14;13;16;14;0;0;15;17;13;15;14;12;6;12;16;14;14;16;6;15;13;10;12;14;6;14;14;0;0;0;0;0;0;0;0;0;0;0;14;14;13;11;11;16;11;15;0;0;2.0;2.0
70;0;8;5;14;20;12;10;15;14;17;17;11;16;0;0;15;16;18;15;17;17;6;13;18;19;18;18;8;19;14;12;11;14;7;14;14;0;0;0;0;0;0;0;0;0;0;0;16;17;15;12;13;18;13;18;0;0;3.5;3.5
71;0;8;5;20;12;14;13;16;17;16;18;9;17;0;0;16;17;14;15;18;14;7;14;16;18;17;16;7;17;15;9;14;19;6;13;17;0;0;0;0;0;0;0;0;0;0;0;15;15;15;13;14;19;14;16;0;0;3.5;3.5
72;20;0;0;0;0;0;9;0;16;13;15;0;15;17;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;15;15;15;15;16;15;15;16;14;15;0;0;7;0;1;9;13;0;15;15;3.5;3.5
73;0;20;16;8;5;5;5;16;14;14;15;18;16;0;0;15;14;15;14;17;14;6;8;11;15;16;8;15;14;13;6;14;15;18;17;15;0;0;0;0;0;0;0;0;0;0;0;14;11;13;15;11;18;12;15;0;0;2.5;2.5
74;0;8;5;18;10;20;8;12;14;14;13;14;13;0;0;15;15;13;13;13;11;7;12;15;13;15;15;7;15;11;10;11;12;7;14;12;0;0;0;0;0;0;0;0;0;0;0;13;14;12;11;10;16;12;15;0;0;1.0;2.5
75;20;0;0;0;0;0;9;0;14;13;13;0;13;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;11;13;12;13;13;13;12;13;12;14;0;0;7;0;1;10;11;0;12;12;0.5;2.5
76;0;8;5;20;10;14;7;11;13;14;12;15;12;0;0;14;13;13;15;14;13;7;13;14;15;15;13;4;14;12;10;11;13;7;12;12;0;0;0;0;0;0;0;0;0;0;0;14;10;14;11;11;16;12;14;0;0;1.0;2.5
77;0;8;5;19;15;20;8;13;12;13;12;13;13;0;0;11;13;15;13;12;14;6;13;15;15;16;15;7;15;13;11;13;11;6;12;12;0;0;0;0;0;0;0;0;0;0;0;13;14;12;10;12;16;11;15;0;0;1.5;2.5
78;0;17;20;5;5;8;10;13;13;13;12;12;12;0;0;13;12;14;14;13;13;5;6;12;14;14;10;15;13;12;6;12;13;12;13;13;0;0;0;0;0;0;0;0;0;0;0;13;12;13;12;10;16;12;13;0;0;1.0;2.0
79;0;20;14;8;5;5;6;16;14;16;17;15;16;0;0;13;16;16;15;17;15;6;8;12;15;15;6;15;14;16;7;14;15;15;15;17;0;0;0;0;0;0;0;0;0;0;0;14;10;15;15;11;18;13;16;0;0;2.5;2.5
80;0;8;7;20;10;16;6;11;13;14;12;13;13;0;0;13;13;13;13;13;13;6;11;15;14;12;14;5;13;12;9;11;11;6;12;13;0;0;0;0;0;0;0;0;0;0;0;13;12;12;10;10;16;11;14;0;0;1.0;3.5
81;0;8;5;20;12;18;10;15;12;13;11;13;12;0;0;13;12;14;13;14;15;8;13;12;13;13;12;4;13;13;10;13;12;7;13;12;0;0;0;0;0;0;0;0;0;0;0;13;10;12;11;13;17;10;12;0;0;1.0;1.5
82;0;20;18;8;5;5;8;11;13;13;11;15;12;0;0;12;11;13;14;12;13;7;7;12;14;14;9;16;15;12;7;11;12;13;13;13;0;0;0;0;0;0;0;0;0;0;0;13;12;12;12;10;16;11;12;0;0;1.0;2.0
83;0;14;20;5;5;8;8;12;14;14;15;14;14;0;0;14;14;18;14;17;18;8;10;13;14;16;6;13;14;14;6;15;15;15;19;13;0;0;0;0;0;0;0;0;0;0;0;15;9;14;15;12;18;12;14;0;0;2.5;2.5
84;20;0;0;0;0;0;7;0;13;13;12;0;14;15;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;12;13;13;13;14;14;13;14;13;15;0;0;7;0;1;9;10;0;12;13;1.0;2.5
85;0;8;5;20;13;19;8;14;15;14;15;15;16;0;0;14;14;17;15;15;17;5;18;15;14;14;17;8;15;14;10;16;13;6;14;14;0;0;0;0;0;0;0;0;0;0;0;15;16;12;11;14;17;12;15;0;0;2.5;2.5
86;0;5;8;14;20;12;5;14;15;15;18;18;13;0;0;16;14;16;16;15;16;5;14;14;15;16;15;7;14;17;18;10;15;7;17;18;0;0;0;0;0;0;0;0;0;0;0;16;14;14;14;11;17;14;14;0;0;3.0;3.0
87;0;5;8;14;16;20;7;15;14;15;16;12;14;0;0;16;15;15;15;16;13;6;14;14;15;17;14;7;16;15;10;15;14;7;14;14;0;0;0;0;0;0;0;0;0;0;0;15;14;14;12;12;17;12;15;0;0;2.5;2.5
88;0;5;8;20;10;15;6;16;16;15;18;14;17;0;0;16;15;19;16;17;19;6;16;18;14;17;18;8;17;12;9;16;13;6;15;14;0;0;0;0;0;0;0;0;0;0;0;17;17;12;11;14;18;14;17;0;0;3.5;3.5
89;0;8;5;20;10;14;8;14;16;14;16;13;17;0;0;14;13;16;14;14;14;8;13;16;17;16;15;6;17;15;8;14;13;7;13;14;0;0;0;0;0;0;0;0;0;0;0;14;13;13;12;12;16;13;16;0;0;2.5;2.5
90;0;5;8;17;13;20;9;16;15;15;15;12;16;0;0;16;16;15;14;16;14;8;14;16;15;16;15;7;16;16;10;14;14;7;14;15;0;0;0;0;0;0;0;0;0;0;0;15;14;12;12;13;17;12;16;0;0;3.0;3.0
91;0;8;5;20;10;17;8;14;15;14;15;13;15;0;0;14;13;16;14;14;14;6;14;14;14;14;15;6;14;14;10;13;15;8;14;14;0;0;0;0;0;0;0;0;0;0;0;14;13;12;12;12;17;12;14;0;0;2.0;2.0
92;0;19;20;5;5;8;11;13;12;14;12;11;13;0;0;14;14;12;14;13;11;5;6;10;14;14;9;15;13;11;7;11;11;10;12;12;0;0;0;0;0;0;0;0;0;0;0;13;12;12;11;10;16;11;11;0;0;0.5;3.0
93;20;0;0;0;0;0;8;0;13;14;11;0;11;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;10;11;12;12;12;12;11;12;12;13;0;0;8;0;1;10;10;0;10;12;0.5;3.0
94;0;5;8;19;13;20;8;15;14;14;15;15;16;0;0;14;15;14;13;16;14;6;13;16;15;17;17;7;16;18;9;15;14;6;13;15;0;0;0;0;0;0;0;0;0;0;0;13;15;12;12;13;17;12;16;0;0;2.5;2.5
95;0;5;8;14;12;20;11;16;15;15;14;10;12;0;0;13;13;16;14;15;15;9;16;14;16;14;15;7;15;15;9;16;14;7;13;14;0;0;0;0;0;0;0;0;0;0;0;14;14;13;12;14;17;12;14;0;0;2.5;2.5
96;0;14;20;5;5;8;7;15;15;15;15;15;16;0;0;15;15;16;14;17;14;6;8;13;15;17;7;15;15;16;7;15;15;14;16;14;0;0;0;0;0;0;0;0;0;0;0;15;11;14;15;11;18;12;14;0;0;2.5;3.0
97;0;8;8;20;10;18;9;11;12;13;11;13;13;0;0;12;12;15;13;12;14;7;15;13;13;15;13;5;13;12;11;12;10;8;13;12;0;0;0;0;0;0;0;0;0;0;0;13;11;11;10;12;15;10;13;0;0;1.0;3.0
98;0;14;20;5;5;8;7;14;15;16;17;15;17;0;0;16;17;16;16;19;17;5;7;14;16;18;9;16;17;13;7;13;16;15;15;15;0;0;0;0;0;0;0;0;0;0;0;16;12;14;14;11;19;13;15;0;0;3.5;3.5
99;0;8;5;12;20;13;10;14;15;15;13;13;15;0;0;15;14;16;15;14;14;7;14;14;15;15;15;6;16;13;13;13;12;6;13;14;0;0;0;0;0;0;0;0;0;0;0;15;13;13;11;13;16;12;15;0;0;2.0;4.5
100;0;8;8;18;10;20;8;10;12;13;12;14;12;0;0;14;14;14;14;14;12;7;9;11;13;13;14;5;13;10;10;10;11;7;12;12;0;0;0;0;0;0;0;0;0;0;0;14;12;12;10;9;16;11;12;0;0;0.5;2.0
101;20;0;0;0;0;0;7;0;14;13;13;0;12;17;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;12;13;16;16;14;17;17;12;16;0;0;7;0;1;9;12;0;15;15;3.0;3.0
102;20;0;0;0;0;0;9;0;13;14;16;0;12;17;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;14;15;15;15;14;15;15;15;14;15;0;0;8;0;1;9;12;0;14;15;2.5;3.0
103;0;5;8;14;10;20;14;19;17;12;15;12;18;0;0;12;12;18;12;14;18;12;16;11;12;10;14;5;12;13;11;19;13;7;15;14;0;0;0;0;0;0;0;0;0;0;0;14;12;12;12;17;16;13;11;0;0;2.0;2.0
104;20;0;0;0;0;0;8;0;15;14;14;0;14;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;15;15;14;14;15;14;14;15;15;15;0;0;8;0;1;9;11;0;14;14;2.5;2.5
105;0;8;8;15;18;20;8;12;12;13;12;12;13;0;0;13;14;12;14;15;12;7;11;14;12;14;12;6;14;11;9;11;11;8;12;12;0;0;0;0;0;0;0;0;0;0;0;13;12;11;10;10;17;11;14;0;0;0.5;3.5
106;20;0;0;0;0;0;8;0;15;15;13;0;15;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;13;14;15;14;16;14;13;13;15;14;0;0;8;0;1;10;12;0;13;14;2.0;2.5
