StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
27;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;12;10;11;12;10;12;15;16;15;15;11;11;0;;15;16
28;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
29;20;15;5;5;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
30;19;20;10;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;13;11;12;12;10;12;15;13;13;16;12;11;10;0;;16;14
31;20;20;16;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;14;15;11;12;15;11;13;12;11;15;13;16;14;14;0;;14;16
32;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
33;10;20;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;10;14;11;14;12;12;17;12;17;18;18;14;14;0;;16;13
34;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
35;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;12;10;10;10;0;;10;10
36;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
37;10;17;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;14;10;10;13;10;14;10;0;;15;13
38;10;15;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;13;11;11;13;10;14;12;13;16;11;13;11;0;;14;12
39;20;17;15;15;1;Offensive;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Balanced;10;11;13;11;10;10;10;13;12;10;10;14;12;13;0;;13;12
40;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
41;15;20;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;13;12;11;12;12;11;15;14;14;16;14;10;12;0;;15;14
42;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
43;10;20;13;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;12;14;14;13;14;11;16;15;14;17;16;12;14;0;;16;15
44;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
45;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
46;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;12;10;10;0;;10;10
47;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
48;1;10;20;17;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;17;11;12;16;11;13;13;11;12;10;11;13;12;0;;13;11
49;1;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;18;10;10;15;11;10;12;15;10;9;10;9;10;9;0;;14;12
50;10;20;14;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Conservative;Ruthless;13;12;13;13;13;11;12;14;12;13;14;14;11;11;0;;12;14
51;1;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;11;15;13;14;14;12;15;12;10;10;10;14;15;0;;14;12
52;5;15;20;20;1;Standard;Balanced;Passive;Aggressive;Prefers Prospects;Balanced;Ruthless;16;17;16;16;17;16;15;18;17;16;10;17;17;17;0;;15;15
53;1;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;15;12;15;14;13;14;10;10;10;8;15;12;0;;13;11
54;1;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;13;17;16;10;17;12;15;12;11;12;12;14;12;0;;14;12
55;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;15;14;14;15;12;14;15;13;11;13;15;14;0;;12;12
56;1;14;20;16;1;Standard;Balanced;Passive;Conservative;Prefers Prospects;Innovative;Balanced;15;14;16;16;15;16;16;15;15;16;10;16;16;15;0;;14;14
57;1;10;20;18;1;Defensive;Non-physical;Balanced;Conservative;Balanced;Balanced;Balanced;17;10;10;16;11;10;10;15;11;11;10;13;8;10;0;;12;14
58;1;10;20;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;12;12;15;10;16;13;11;14;10;11;13;12;0;;13;11
59;1;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;16;10;10;13;11;10;11;14;10;10;11;10;11;11;0;;12;11
60;1;10;20;19;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;18;10;10;15;11;10;14;14;11;12;10;11;13;8;0;;14;12
61;1;15;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;13;11;10;10;10;11;10;10;10;10;10;10;0;;15;13
62;1;12;20;19;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;15;15;15;15;15;14;16;15;14;15;10;15;15;14;0;;15;14
63;10;10;18;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;15;15;13;16;11;13;12;12;10;14;13;13;0;;15;15
64;1;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;16;10;10;15;11;10;14;13;10;10;10;11;10;9;0;;11;13
65;1;16;20;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;11;13;15;10;13;12;14;14;11;12;12;12;0;;12;11
66;1;10;20;20;1;Very Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;19;10;10;17;13;10;9;14;15;12;12;15;8;8;0;;12;14
67;5;15;20;20;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;16;16;13;15;16;15;17;15;16;15;10;16;15;16;0;;14;13
68;1;10;20;19;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;16;12;15;16;13;15;15;11;12;12;15;14;14;0;;13;11
69;5;15;20;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;14;16;16;15;17;14;17;16;16;16;10;16;16;15;0;;15;13
70;1;10;20;20;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;17;11;10;15;11;10;10;15;11;10;12;10;11;11;0;;13;11
71;1;15;20;19;1;Standard;Balanced;Balanced;Conservative;Balanced;Conservative;Loyal;11;16;13;13;15;15;15;15;9;8;9;8;15;15;0;;12;10
72;1;15;19;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;10;9;11;11;9;10;12;9;10;10;14;9;9;0;;14;14
73;1;10;20;18;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;17;10;10;14;11;10;14;14;15;13;12;11;9;10;0;;14;10
74;1;10;20;20;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;11;12;14;11;14;13;13;13;10;13;14;13;0;;13;11
75;1;10;20;19;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;12;14;16;15;13;15;14;13;14;10;14;12;13;0;;13;15
76;1;10;20;19;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;14;14;15;11;15;15;13;13;12;11;14;13;0;;13;11
77;1;10;20;18;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;17;14;10;17;12;13;10;11;12;10;13;11;0;;14;12
78;1;10;20;18;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;17;10;10;16;13;10;12;13;15;13;10;12;13;8;0;;12;10
79;5;15;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;15;14;16;15;15;16;15;15;15;10;15;15;15;0;;13;14
80;1;10;20;18;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;10;10;16;12;10;13;13;11;11;12;12;8;10;0;;12;15
81;1;10;20;18;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;16;16;12;16;11;13;10;14;12;8;14;14;0;;14;12
82;1;14;20;19;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;12;14;17;14;14;13;14;11;8;11;12;13;13;0;;12;14
83;10;10;15;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;10;10;12;10;10;12;10;10;10;10;10;10;0;;11;14
84;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;10;13
85;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;14;16
86;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;14;16
87;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;12;17
88;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;15;12
89;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;12;11;11;10;13;10;10;11;10;10;10;0;;16;14
90;10;20;14;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;15;12;13;14;12;13;17;14;14;17;16;11;12;0;;16;14
91;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;15;17
92;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;13;10;10;10;10;10;10;0;;12;14
93;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;13;11;11;14;10;13;10;10;10;10;10;10;0;;14;12
94;1;15;15;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;10;11;12;10;11;12;10;10;10;10;10;10;0;;11;16
95;10;10;15;20;1;Offensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;13;11;14;13;10;15;10;10;13;10;10;10;0;;19;13
96;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;11;10;10;10;12;10;10;11;10;10;10;0;;13;17
97;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;13;15
98;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;15;17
99;1;10;20;19;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;11;15;15;10;16;13;12;13;12;10;8;11;0;;12;14
100;10;10;15;20;1;Offensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;13;11;11;13;10;12;10;10;10;10;10;10;0;;12;14
101;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;11;7
102;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;14;11
103;10;20;14;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;11;13;11;10;11;12;14;13;12;15;15;12;13;0;;14;14
104;1;17;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;12;8;10;14;13;9;14;10;10;14;10;10;10;0;;14;18
105;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;11;10;10;10;12;10;10;10;10;10;10;0;;10;13
106;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;12;10;10;10;10;10;10;0;;11;15
107;10;10;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;10;10;10;11;10;10;10;0;;11;15
108;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;15;17
109;1;10;20;19;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;13;16;15;12;14;13;14;12;12;13;11;11;0;;12;14
110;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;11;15
111;1;15;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;12;10;15;13;13;13;14;10;7;12;10;10;10;0;;16;14
112;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;18;14
113;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;11;11;10;10;10;12;10;10;10;10;10;10;0;;11;13
114;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;13;10;10;10;10;10;10;0;;15;12
115;1;15;15;20;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;11;10;11;10;12;12;10;10;10;10;10;10;0;;15;12
116;10;10;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;14;11;13;13;10;13;10;10;10;10;10;10;0;;14;12
117;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;15;11
118;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;12;15
119;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;14;17
120;1;15;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;11;10;10;10;10;12;10;10;10;10;10;10;0;;14;17
121;10;10;15;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;11;10;13;10;11;12;10;10;10;10;10;10;0;;14;12
122;10;10;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;10;10;10;11;10;10;12;10;10;10;10;10;10;0;;13;16
123;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;11;15
124;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;12;16
125;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;13;15
126;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;12;10;10;10;10;10;10;0;;12;14
127;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;16;15
128;10;10;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;12;10;10;10;10;10;10;0;;14;10
129;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;12;14
130;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;12;10;10;10;10;10;10;0;;13;11
131;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;10;14
132;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;14;16
133;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;11;10;10;10;10;10;10;0;;10;16
134;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;12;10;10;10;10;10;10;0;;14;17
135;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;13;17
136;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;10;13
137;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;10;10;10;10;10;13;10;10;10;10;10;10;0;;12;14
138;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;14;12
139;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;6;5;10;10;10;10;13;10;10;10;10;10;10;0;;15;18
140;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;17;14
141;10;10;15;20;1;Standard;Very Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;11;11;10;10;10;14;10;10;10;10;12;10;0;;14;16
142;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;11;10;10;10;0;;10;15
143;10;10;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;13;10;10;10;10;12;10;0;;12;16
144;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;11;14
145;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;14;12
146;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;10;15
147;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;10;13
148;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;11;10;10;10;14;10;10;10;10;12;10;0;;12;14
149;1;15;18;20;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;14;11;13;10;10;14;12;13;13;10;13;13;12;0;;14;12
150;10;10;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;10;10;10;10;10;12;10;10;10;10;10;10;0;;13;18
151;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;13;10;10;10;10;10;10;0;;15;11
152;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;12;15
153;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;11;13
154;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;17;19
155;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;15;17
156;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;13;16
157;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;12;14
158;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;10;13
159;10;15;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;11;11;13;10;11;10;10;12;10;10;10;0;;14;12
160;10;14;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;13;11;10;10;10;14;10;10;10;10;13;10;0;;13;15
161;1;15;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;10;11;10;10;10;13;10;10;10;10;10;10;0;;11;15
162;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;14;11;12;9;11;10;10;10;10;10;10;10;0;;13;15
163;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;13;15
164;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;12;10;10;10;10;10;10;0;;12;15
165;10;10;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;10;10;10;10;10;12;10;10;10;10;10;10;0;;17;14
